"Idade";"Cor";"Sexo";"Regiao";"Ocupacao";"Renda";"Escolaridade";"Classe_Social"
17;4;1;3;6;3;2;1
30;4;2;3;6;3;5;1
35;4;2;3;6;3;2;1
38;1;1;3;6;4;2;1
47;1;1;3;6;3;2;1
38;1;1;3;6;4;5;1
46;2;1;3;5;3;2;2
41;2;2;3;5;3;5;1
33;1;1;3;2;3;2;1
32;1;2;3;2;3;3;1
47;1;1;3;6;3;2;1
30;4;1;3;2;3;5;1
54;4;1;3;2;3;2;1
58;2;1;3;5;3;4;2
56;4;1;3;6;3;2;1
52;4;2;3;4;3;2;3
23;4;2;3;6;3;3;1
52;4;2;3;2;3;2;1
25;4;2;3;2;3;5;1
83;4;1;3;4;3;1;3
59;4;2;3;2;3;2;1
72;2;1;3;4;3;2;3
34;4;1;3;6;3;4;1
33;2;2;3;2;3;4;1
31;2;2;3;2;3;5;1
48;2;2;3;6;3;4;1
36;4;1;3;2;3;5;1
39;4;2;3;6;3;4;1
36;4;2;3;6;3;2;1
20;4;2;3;2;3;4;1
27;4;1;3;2;3;5;2
42;2;1;3;2;3;2;1
20;2;1;3;6;3;6;1
58;1;1;3;5;3;2;1
22;4;1;3;6;4;2;1
51;4;1;3;5;3;2;1
42;4;2;3;6;3;2;1
33;1;1;3;2;3;2;1
32;4;2;3;2;3;2;1
17;4;1;3;2;3;4;1
38;4;1;3;1;3;5;3
38;4;2;3;6;3;5;1
40;4;1;3;4;3;2;3
46;4;2;3;6;3;5;1
38;4;1;3;2;3;5;1
32;4;2;3;4;3;2;3
38;1;1;3;2;4;4;1
38;4;2;3;2;3;7;2
46;1;1;3;2;3;2;1
35;1;2;3;6;3;3;1
19;1;1;3;6;3;4;1
43;4;2;3;2;3;7;2
52;1;1;3;5;7;5;2
47;4;2;3;5;7;5;2
24;4;2;3;2;7;1;1
35;1;2;3;2;7;5;1
64;4;1;3;6;4;3;1
27;4;1;3;5;4;5;2
67;2;1;3;1;4;5;3
30;4;1;3;2;3;5;1
20;4;1;3;2;3;5;2
37;4;1;3;6;3;2;1
54;4;1;3;2;3;5;1
49;4;2;3;1;3;5;3
30;4;1;3;6;3;4;1
36;4;2;3;1;3;5;3
20;4;2;3;1;3;5;3
40;1;1;3;6;3;5;1
43;4;1;3;6;4;2;1
47;4;2;3;2;4;7;2
35;4;2;3;5;5;7;2
37;4;1;3;5;5;7;2
65;2;2;3;2;4;5;1
38;4;2;3;6;3;3;1
58;4;1;3;2;3;5;1
56;4;1;3;2;3;2;1
48;4;2;3;2;4;5;2
44;4;1;3;5;4;1;2
40;4;2;3;6;3;3;1
24;4;1;3;2;3;5;1
45;1;2;3;2;3;7;2
47;4;1;3;6;3;4;1
23;4;1;3;6;3;5;1
31;4;1;3;6;3;4;1
56;1;2;3;1;3;5;3
48;4;2;3;1;3;7;3
35;4;1;3;6;3;5;1
25;4;2;3;6;3;2;1
26;2;2;3;2;3;7;2
22;4;1;3;2;3;5;1
43;4;2;3;2;3;3;1
24;4;1;3;2;3;5;1
51;4;1;3;5;3;2;1
21;4;1;3;1;3;6;3
50;2;1;3;5;3;1;1
30;4;2;3;2;3;7;2
19;2;2;3;6;3;4;1
47;4;1;3;2;3;2;1
62;2;2;3;2;3;2;1
35;4;1;3;2;3;2;1
41;4;2;3;2;3;2;1
42;4;1;3;6;3;2;1
42;1;2;3;6;3;2;1
46;4;2;3;1;3;2;3
53;4;1;3;4;3;2;3
43;1;1;3;4;3;3;3
41;1;2;3;2;3;2;1
20;1;1;3;2;3;5;1
63;2;1;3;6;4;1;1
38;4;1;3;6;3;4;1
36;4;2;3;6;3;1;1
52;4;1;3;2;4;2;1
20;4;1;3;6;3;5;1
65;4;1;3;2;3;1;1
36;4;2;3;1;3;5;3
40;1;1;3;6;3;4;1
28;1;2;3;2;4;6;1
58;1;1;3;2;4;5;1
47;1;2;3;4;3;5;3
71;4;1;3;2;4;2;1
55;4;2;3;2;4;7;1
54;1;1;3;6;3;4;1
23;1;2;3;2;3;5;1
22;4;2;3;1;3;5;3
37;4;2;3;2;4;7;2
41;2;1;3;2;4;5;1
22;4;1;3;2;4;6;1
36;1;1;3;2;3;5;1
36;4;2;3;6;3;5;1
66;2;2;3;6;6;2;1
30;4;2;3;6;3;6;1
25;4;1;3;2;3;2;1
41;4;1;3;2;3;3;1
37;4;2;3;6;3;5;1
31;4;2;3;2;3;5;1
42;4;1;3;2;3;5;1
59;4;1;3;2;3;3;1
19;4;2;3;2;3;5;1
17;4;1;3;6;3;4;1
43;4;1;3;2;3;5;2
67;1;1;3;5;4;1;1
21;4;2;3;4;4;5;3
50;4;1;3;6;3;2;1
35;4;1;3;4;4;4;3
34;4;2;3;4;4;5;3
39;2;1;3;5;8;2;2
37;4;1;3;2;4;5;1
40;1;1;3;1;3;5;3
39;4;2;3;2;3;5;2
77;4;1;3;2;3;1;1
73;4;1;3;6;3;2;1
35;4;2;3;1;3;5;3
59;2;2;3;6;3;2;1
27;2;2;3;6;3;5;1
40;4;2;3;6;3;7;1
47;4;2;3;6;3;4;1
37;4;1;3;4;3;1;3
18;2;1;3;6;3;5;1
35;4;2;3;6;3;2;1
31;4;1;3;6;3;2;1
20;4;2;3;6;3;3;1
18;4;1;3;6;3;5;1
27;4;2;3;6;3;5;1
34;4;1;3;6;3;2;1
26;1;1;3;2;3;5;1
26;4;2;3;1;3;3;3
44;2;2;3;2;3;2;1
41;2;1;3;6;3;1;1
17;2;1;3;2;3;2;1
53;4;2;3;2;4;7;2
57;4;1;3;4;4;2;3
28;4;1;3;6;4;5;1
41;4;2;3;6;3;2;1
62;4;1;3;4;3;1;3
43;2;2;3;6;3;2;1
47;4;1;3;6;3;2;1
46;4;2;3;6;3;5;1
28;4;2;3;4;3;5;3
58;4;1;3;2;3;3;1
42;4;2;3;6;3;5;1
62;1;1;3;2;3;5;1
45;4;2;3;6;3;5;1
47;4;1;3;4;3;2;3
19;4;2;3;6;3;4;1
25;2;2;3;2;3;4;1
24;4;2;3;6;3;5;1
33;4;2;3;6;3;2;1
31;2;1;3;6;3;4;1
23;4;2;3;6;3;2;1
18;4;2;3;6;3;4;1
34;4;2;3;6;3;2;1
35;4;1;3;2;3;2;1
63;4;1;3;6;3;1;1
54;4;2;3;6;3;1;1
42;4;1;3;6;3;3;1
40;4;1;3;5;3;1;1
20;4;1;3;3;3;2;1
20;4;1;3;3;3;2;1
39;4;1;3;2;3;3;2
48;4;1;3;5;3;1;1
55;4;2;3;6;3;2;1
31;4;1;3;5;3;2;1
31;4;1;3;2;3;4;1
33;2;1;3;6;3;1;1
51;4;1;3;5;3;5;2
17;1;2;3;6;3;3;1
24;4;1;3;3;3;5;1
58;4;1;3;5;3;1;1
66;4;2;3;6;3;2;1
31;4;2;3;6;3;5;1
31;4;2;3;2;3;5;2
49;4;2;3;6;3;4;1
66;4;1;3;4;3;1;3
27;4;2;3;6;3;5;1
46;4;1;3;2;3;7;2
23;4;1;3;6;3;4;1
30;1;2;3;6;3;5;1
35;4;1;3;2;3;5;1
35;4;1;3;6;3;5;1
30;4;2;3;2;3;5;1
57;4;1;3;5;3;1;2
55;4;2;3;2;3;1;1
23;4;2;3;6;3;5;1
17;4;1;3;2;3;2;1
36;4;2;3;2;5;2;1
38;4;1;3;2;3;2;1
44;4;2;3;6;3;2;1
26;4;1;3;6;3;2;1
61;4;2;3;6;3;1;1
62;4;1;3;6;3;1;1
20;4;1;3;6;3;2;1
14;4;2;3;6;3;2;1
40;4;2;3;1;3;7;3
42;1;1;3;6;3;1;1
33;4;1;3;6;3;2;1
35;4;2;3;6;3;4;1
17;4;1;3;6;3;2;1
46;4;1;3;5;3;2;1
40;1;1;3;6;3;1;1
37;4;2;3;6;3;4;1
28;4;2;3;6;3;2;1
27;4;1;3;6;3;5;1
37;4;1;3;6;3;5;1
35;4;2;3;2;3;7;2
39;4;1;3;1;3;7;3
40;4;2;3;6;3;7;1
47;4;1;3;5;3;2;1
38;4;2;3;5;3;2;1
16;4;1;3;5;3;2;1
57;4;1;3;1;4;5;3
40;1;1;3;5;3;5;1
59;4;1;3;2;3;1;1
67;4;1;3;5;3;2;1
37;4;1;3;6;3;2;1
32;4;1;3;2;3;7;2
60;4;1;3;6;3;1;1
34;4;2;3;6;3;2;1
25;4;1;3;6;3;2;1
36;1;1;3;6;3;3;1
22;1;1;3;2;3;5;1
54;4;2;3;6;3;2;1
57;1;1;3;4;3;1;3
36;4;1;3;6;3;4;1
34;4;2;3;6;3;3;1
56;4;1;3;5;3;2;1
39;4;1;3;2;4;7;2
46;4;1;3;6;3;1;1
19;4;2;3;6;3;5;1
17;4;1;3;6;3;4;1
31;4;1;3;6;3;3;1
18;4;1;3;6;3;3;1
26;4;1;3;6;3;2;1
41;4;2;3;2;4;7;2
42;4;1;3;6;4;1;1
46;4;1;3;6;3;2;1
16;3;2;3;2;3;4;1
37;4;2;3;1;3;5;3
52;4;1;3;4;3;2;3
41;4;2;3;2;3;2;1
24;4;2;3;6;3;5;1
20;4;1;3;6;3;3;1
49;4;2;3;2;3;2;1
20;4;1;3;6;3;2;1
47;4;1;3;1;3;5;3
40;4;2;3;6;3;2;1
44;4;1;3;2;3;2;1
65;4;2;3;2;5;1;1
34;4;2;3;6;4;4;1
40;4;1;3;2;4;4;1
28;2;1;3;6;3;5;1
24;4;2;3;2;3;6;2
44;1;1;3;5;3;1;1
25;4;1;3;2;3;3;1
19;2;2;3;6;3;3;1
24;4;2;3;2;4;5;2
38;1;2;3;5;3;5;1
45;1;1;3;5;3;2;1
40;1;1;3;3;3;2;1
17;4;1;3;6;3;5;1
42;4;1;3;6;3;2;1
28;1;1;3;6;3;2;1
53;4;2;3;6;3;4;1
44;4;1;3;5;3;2;1
45;2;1;3;4;3;2;3
41;2;2;3;6;3;1;1
18;2;1;3;2;3;5;1
29;4;1;3;6;3;3;1
33;4;2;3;6;3;4;1
50;2;1;3;5;3;5;1
37;4;1;3;6;3;2;1
46;4;2;3;6;3;2;1
25;2;1;3;6;3;2;1
43;4;1;3;5;3;5;1
40;4;1;3;6;3;2;1
28;4;2;3;6;3;2;1
35;4;1;3;6;3;1;1
29;4;1;3;1;3;7;3
47;4;2;3;6;3;1;1
40;4;1;3;3;3;2;1
20;4;1;3;6;3;2;1
38;4;1;3;2;3;1;1
31;4;2;3;6;3;3;1
55;1;1;3;5;3;5;1
27;4;1;3;2;3;6;1
27;4;1;3;3;3;2;1
41;4;1;3;5;3;2;1
31;1;1;3;1;5;6;3
22;1;2;3;2;5;7;2
66;4;1;3;5;4;2;1
62;4;2;3;3;4;2;1
45;4;1;3;2;3;2;1
48;4;2;3;6;3;2;1
35;4;1;3;2;3;5;1
32;1;2;3;6;3;5;1
50;4;1;3;6;3;2;1
43;1;2;3;6;3;2;1
25;1;1;3;6;3;5;1
44;4;1;3;2;3;3;1
40;1;2;3;2;3;5;1
47;4;1;3;1;3;2;3
29;4;2;3;6;3;7;1
65;1;2;3;6;3;2;1
48;4;1;3;6;3;1;1
62;4;1;3;5;4;1;1
36;4;1;3;6;3;2;1
53;4;1;3;6;3;2;1
33;4;1;3;5;3;2;1
30;4;2;3;6;3;5;1
39;1;1;3;6;3;2;1
41;2;1;3;6;3;2;1
56;4;1;3;6;3;1;1
21;4;2;3;6;3;2;1
17;4;1;3;6;3;5;1
41;4;1;3;6;3;2;1
44;4;2;3;6;3;2;1
33;4;1;3;4;3;5;3
31;1;2;3;2;3;5;1
33;4;1;3;6;3;3;1
33;2;1;3;6;3;4;1
33;4;2;3;6;3;2;1
56;4;1;3;2;3;2;1
22;4;1;3;2;3;5;1
38;4;1;3;2;3;2;1
28;4;2;3;6;3;2;1
31;4;2;3;6;3;3;1
36;2;1;3;6;3;4;1
60;4;1;3;6;3;2;1
42;1;2;3;6;3;2;1
28;4;1;3;6;3;4;1
38;4;2;3;6;3;2;1
37;4;1;3;3;3;2;1
46;1;1;3;6;3;2;1
40;4;2;3;6;3;2;1
33;4;1;3;6;3;2;1
32;4;2;3;6;3;2;1
58;1;2;3;6;3;1;1
44;4;2;3;6;3;2;1
42;4;2;3;6;3;2;1
57;4;1;3;6;3;1;1
59;4;2;3;6;3;2;1
65;4;1;3;5;3;2;1
31;4;1;3;6;3;4;1
70;4;1;3;6;5;2;1
33;4;1;3;6;3;2;1
60;4;2;3;6;4;2;1
61;4;1;3;5;4;2;1
45;4;2;3;6;3;1;1
36;5;1;3;5;3;2;1
46;4;1;3;6;3;1;1
52;2;1;3;5;3;2;1
43;2;2;3;6;3;2;1
45;4;1;3;5;3;2;1
24;4;1;3;5;3;5;1
33;4;1;3;5;3;2;1
61;3;1;3;5;3;2;1
60;4;1;3;6;3;2;1
24;4;2;3;6;3;5;1
52;1;1;3;6;3;1;1
30;4;1;3;6;3;4;1
37;4;1;3;6;3;5;1
37;4;1;3;6;3;4;1
56;4;1;3;5;3;2;1
28;4;1;3;6;3;2;1
61;4;1;3;5;4;5;1
57;4;2;3;3;4;2;1
39;4;1;3;5;3;2;1
33;1;2;3;4;3;3;3
52;4;1;3;5;3;2;1
28;4;1;3;5;3;5;1
40;4;1;3;6;3;2;1
46;4;1;3;6;3;2;1
30;1;2;3;2;3;2;1
55;4;2;3;6;3;2;1
61;1;1;3;3;3;2;1
62;4;2;3;6;3;1;1
57;4;1;3;6;3;1;1
38;1;1;3;5;3;2;1
29;4;2;3;6;3;1;1
21;4;1;3;6;3;4;1
64;4;2;3;6;3;2;1
67;1;1;3;5;3;2;1
22;4;1;3;6;3;5;1
35;2;1;3;2;3;7;2
47;4;2;3;5;3;7;1
26;4;1;3;5;3;6;1
20;4;1;3;5;3;4;1
17;4;2;3;5;3;4;1
30;4;1;3;2;3;5;1
20;4;2;3;6;3;5;1
71;4;1;3;5;4;1;1
42;4;1;3;5;4;7;1
54;4;1;3;5;3;1;1
50;1;1;3;5;3;5;1
21;4;1;3;2;3;7;1
55;4;1;3;6;3;2;1
42;1;2;3;6;3;2;1
22;1;2;3;2;3;7;2
21;4;1;3;6;3;5;1
42;4;2;3;2;3;5;2
44;2;1;3;2;4;7;2
41;2;2;3;6;4;5;1
29;4;2;3;1;3;7;3
60;4;1;3;6;3;5;1
64;2;1;3;2;4;2;1
52;1;1;3;6;3;2;1
32;4;1;3;5;3;2;1
23;4;1;3;2;3;7;2
46;1;2;3;2;4;7;2
59;4;1;3;5;4;1;1
38;4;1;3;5;3;2;1
58;4;1;3;6;3;1;1
25;4;2;3;6;3;3;1
28;4;1;3;6;3;3;1
42;4;2;3;2;3;2;1
39;3;2;3;2;3;1;1
26;4;2;3;2;3;7;2
55;4;2;3;6;4;2;1
39;4;1;3;5;3;2;1
34;1;1;3;6;3;5;1
36;4;2;3;6;3;5;1
37;4;1;3;6;3;2;1
28;4;2;3;6;3;5;1
29;4;2;3;6;3;5;1
46;4;1;3;6;3;1;1
41;4;2;3;6;3;4;1
53;4;2;3;2;4;1;1
29;4;1;3;5;6;5;2
23;4;2;3;2;3;5;1
25;4;1;3;6;3;2;1
54;4;1;3;6;3;2;1
26;4;2;3;1;3;5;3
76;4;1;3;6;4;1;1
22;4;1;3;6;4;5;1
30;4;1;3;5;3;5;1
24;4;2;3;6;3;5;1
40;1;1;3;4;3;5;3
43;4;1;3;2;3;3;1
36;4;1;3;5;3;2;2
36;1;2;3;1;3;5;3
39;4;1;3;2;3;4;1
34;4;1;3;6;3;2;1
66;1;1;3;2;4;2;1
25;4;1;3;2;4;5;1
35;4;1;3;6;3;2;1
32;4;2;3;6;3;5;1
44;1;2;3;2;3;7;2
30;4;1;3;2;6;7;2
20;4;1;3;6;6;3;1
59;4;2;3;5;5;2;1
42;4;2;3;2;4;7;2
21;4;1;3;6;4;5;1
40;4;1;3;6;3;2;1
36;4;1;3;6;3;2;1
40;4;2;3;5;3;2;1
38;1;1;3;5;3;2;1
40;4;2;3;6;3;2;1
18;4;1;3;6;3;4;1
54;4;1;3;2;3;5;1
43;4;2;3;6;3;1;1
53;4;1;3;6;3;1;1
47;4;2;3;6;3;2;1
40;4;1;3;6;3;2;1
42;1;2;3;6;3;2;1
51;2;1;3;2;3;2;1
23;4;2;3;6;3;2;1
20;1;1;3;6;3;2;1
59;1;1;3;6;3;1;1
48;4;1;3;5;3;2;1
36;4;1;3;6;3;3;1
24;4;1;3;6;3;3;1
37;4;2;3;2;3;7;2
64;4;1;3;5;3;2;1
49;4;1;3;5;3;2;1
53;4;1;3;5;3;1;1
35;2;1;3;5;3;3;1
31;4;1;3;6;3;2;1
52;4;1;3;5;3;2;1
34;4;2;3;6;3;3;1
15;4;1;3;6;3;2;1
48;4;1;3;6;3;1;1
54;4;1;3;6;3;3;1
41;4;1;3;5;3;5;1
18;1;1;3;3;3;5;1
42;4;1;3;4;3;3;3
34;4;2;3;2;3;5;1
53;1;1;3;6;3;2;1
59;4;1;3;6;3;1;1
40;4;2;3;2;4;7;2
67;1;1;3;4;4;2;3
20;4;1;3;6;4;5;1
40;4;1;3;2;4;2;1
40;4;2;3;2;4;7;2
55;4;1;3;6;3;2;1
55;4;1;3;6;3;2;1
58;4;1;3;6;3;1;1
31;4;2;3;6;3;5;1
39;4;1;3;3;3;2;1
18;4;1;3;3;3;5;1
53;4;1;3;6;3;2;1
26;1;1;3;6;3;5;1
50;4;1;3;2;3;2;1
48;4;2;3;2;3;7;2
22;2;1;3;6;3;5;1
46;2;1;3;1;3;2;3
41;1;2;3;6;3;2;1
35;4;2;3;2;3;7;2
44;4;1;3;6;3;2;1
21;4;1;3;6;3;5;1
31;4;1;3;6;3;3;1
33;1;1;3;6;3;2;1
73;4;1;3;5;4;2;1
73;4;2;3;6;4;2;1
21;4;1;3;6;3;4;1
38;4;1;3;5;3;5;1
40;4;2;3;6;3;5;1
37;4;1;3;6;3;2;1
26;4;1;3;6;3;2;1
37;4;1;3;6;3;2;1
39;4;1;3;6;3;2;1
36;2;1;3;6;3;2;1
30;4;2;3;6;3;2;1
15;4;2;3;6;3;2;1
50;4;1;3;5;3;2;1
37;4;1;3;6;3;1;1
34;4;1;3;6;3;1;1
50;4;1;3;6;3;1;1
28;3;2;3;6;3;2;1
45;4;1;3;1;5;5;3
39;4;2;3;2;5;6;2
37;4;1;3;6;3;2;1
17;4;1;3;6;3;3;1
37;4;1;3;5;3;2;2
34;4;2;3;2;3;7;2
25;4;2;3;5;3;5;2
29;4;1;3;2;3;5;2
56;4;1;3;5;3;2;1
50;2;2;3;6;3;2;1
21;4;2;3;2;3;5;1
32;1;1;3;3;3;2;1
57;1;1;3;5;4;1;1
67;1;1;3;5;4;2;1
22;4;1;3;6;3;3;1
33;4;1;3;2;3;2;1
51;1;1;3;5;3;2;1
56;4;2;3;1;3;3;3
31;1;1;3;6;3;3;1
30;4;2;3;2;3;7;2
20;4;1;3;6;3;5;1
20;1;1;3;6;3;5;1
40;4;2;3;6;3;4;1
20;4;1;3;1;3;3;3
40;4;2;3;3;3;2;1
40;4;1;3;5;3;1;1
20;4;1;3;3;3;4;1
18;4;1;3;2;3;5;1
23;4;1;3;2;3;3;1
55;4;1;3;4;3;2;3
43;4;2;3;2;3;7;1
44;4;1;3;6;3;1;1
37;2;2;3;6;3;3;1
48;4;1;3;5;3;2;1
41;4;1;3;5;3;2;1
46;2;1;3;5;3;1;1
45;4;1;3;3;3;2;1
34;4;2;3;6;3;3;1
36;4;1;3;3;3;2;1
32;4;1;3;1;3;5;3
26;4;2;3;6;3;5;1
53;4;1;3;6;3;1;1
15;4;2;3;6;3;2;1
32;4;1;3;5;3;2;1
37;4;1;3;5;4;5;1
73;1;1;3;6;3;2;1
44;4;1;3;5;3;3;1
38;1;1;3;6;3;2;1
41;4;2;3;6;3;2;1
42;4;1;3;6;3;1;1
22;2;1;3;6;3;5;1
54;2;1;3;6;3;2;1
35;4;2;3;2;4;6;1
28;4;1;3;6;3;2;1
44;4;1;3;3;3;2;1
22;1;1;3;3;3;4;1
19;4;1;3;6;3;3;1
36;1;2;3;2;3;5;1
36;4;1;3;6;3;2;1
42;4;1;3;6;3;2;1
25;4;1;3;6;3;5;1
40;1;1;3;6;3;5;1
40;1;1;3;6;4;3;1
37;4;1;3;2;3;5;1
60;4;1;3;2;3;1;1
16;2;1;3;6;3;4;1
46;1;1;3;2;3;7;2
44;4;2;3;1;3;7;3
43;4;1;3;3;3;2;1
41;1;1;3;5;3;5;1
26;4;2;3;6;3;4;1
42;4;2;3;6;3;1;1
59;4;1;3;5;3;1;1
50;4;2;3;6;3;5;1
26;4;1;3;6;3;5;1
33;1;1;3;3;4;3;1
36;4;1;3;6;3;2;1
53;4;2;3;6;3;1;1
20;4;2;3;2;3;5;2
23;4;1;3;6;3;2;1
27;4;1;3;3;3;2;1
45;4;2;3;2;3;6;1
48;4;1;3;5;3;2;1
27;4;1;3;6;3;5;1
22;4;1;3;6;3;5;1
46;4;1;3;2;3;5;2
31;4;2;3;2;3;5;1
46;4;2;3;6;3;5;1
42;2;2;3;2;3;7;1
50;1;1;3;6;3;2;1
50;2;1;3;6;3;2;1
38;1;1;3;4;3;2;3
42;4;2;3;2;3;5;1
20;4;1;3;6;3;6;1
48;2;2;3;6;3;3;1
43;2;1;3;6;3;2;1
17;4;1;3;2;3;4;1
45;4;1;3;4;3;1;3
45;4;2;3;2;3;2;1
20;4;1;3;2;3;5;1
23;4;1;3;2;3;5;1
64;2;1;3;6;3;1;1
21;4;1;3;6;3;5;1
15;4;1;3;6;3;3;1
42;4;1;3;2;4;7;2
18;4;2;3;1;4;5;3
37;4;1;3;6;3;1;1
22;4;1;3;1;4;7;3
33;4;2;3;6;3;2;1
25;2;1;3;6;3;2;1
47;4;2;3;6;4;3;1
31;2;2;3;2;3;5;2
43;1;1;3;2;3;2;1
36;4;2;3;6;3;2;1
63;1;1;3;6;4;1;1
43;4;1;3;5;3;1;1
43;4;2;3;6;3;1;1
26;4;1;3;6;3;5;1
25;4;1;3;6;3;2;1
21;4;1;3;6;3;2;1
58;3;2;3;6;3;2;1
22;4;1;3;5;3;2;1
20;4;1;3;5;3;4;1
47;4;2;3;6;3;1;1
52;4;1;3;6;3;1;1
30;1;1;3;6;4;2;1
52;2;1;3;5;3;2;1
25;4;1;3;3;3;5;1
68;4;2;3;5;4;2;1
17;4;1;3;6;3;2;1
45;4;1;3;6;3;1;1
37;4;2;3;6;3;2;1
16;4;1;3;6;3;2;1
14;1;1;3;6;3;2;1
42;4;1;3;5;3;2;1
42;2;2;3;6;3;4;1
54;2;1;3;6;3;2;1
22;4;1;3;6;3;2;1
20;4;1;3;6;3;3;1
19;4;1;3;6;3;3;1
37;4;2;3;6;3;2;1
25;1;1;3;2;4;4;1
44;4;1;3;6;3;2;1
36;1;1;3;6;3;2;1
26;4;2;3;6;3;4;1
27;4;1;3;5;3;5;1
43;4;1;3;5;3;2;1
24;4;1;3;6;3;2;1
40;4;2;3;6;3;2;1
41;4;1;3;6;3;1;1
20;4;1;3;6;3;2;1
30;4;1;3;6;3;2;1
43;4;1;3;6;3;1;1
39;1;1;3;6;3;2;1
23;1;1;3;6;3;1;1
58;4;1;3;5;3;2;1
54;1;2;3;6;3;5;1
20;4;1;3;3;3;3;1
43;4;1;3;6;3;2;1
23;4;1;3;6;3;5;1
58;2;2;3;6;3;1;1
21;2;1;3;6;3;5;1
44;4;1;3;2;4;7;2
34;4;2;3;6;4;2;1
23;1;1;3;6;3;5;1
40;2;2;3;1;3;5;3
41;2;1;3;2;3;2;1
37;4;2;3;2;3;2;1
65;4;2;3;6;4;1;1
34;4;1;3;6;3;5;1
29;4;2;3;2;3;5;1
43;2;2;3;2;3;3;1
37;4;1;3;2;3;2;1
37;4;2;3;6;3;5;1
41;4;1;3;6;3;2;1
20;4;1;3;6;3;3;1
18;4;1;3;6;3;5;1
51;4;1;3;6;3;2;1
51;4;1;3;6;3;1;1
23;4;1;3;6;3;5;1
22;4;1;3;6;3;5;1
19;4;1;3;6;3;5;1
17;4;1;3;6;3;4;1
32;4;2;3;6;3;6;1
47;4;1;3;5;3;2;1
41;4;1;3;6;3;2;1
44;4;1;3;6;3;2;1
37;4;1;3;5;3;2;1
49;4;1;3;1;3;5;3
36;4;2;3;6;3;2;1
18;4;1;3;6;3;3;1
22;4;2;3;6;3;2;1
16;1;1;3;6;3;4;1
26;4;1;3;6;3;2;1
22;4;1;3;6;3;2;1
24;4;1;3;6;4;2;1
21;1;1;3;6;3;2;1
29;1;1;3;6;3;2;1
20;1;1;3;6;3;2;1
17;2;1;3;6;3;2;1
37;2;1;3;3;3;2;1
28;4;1;3;6;3;3;1
39;4;1;3;6;3;5;1
39;2;1;3;2;5;7;2
50;4;2;3;2;5;7;2
25;1;1;3;6;3;2;1
33;4;1;3;5;3;2;1
67;2;1;3;6;3;2;1
39;4;1;3;6;3;2;1
65;4;1;3;6;3;2;1
47;4;1;3;2;3;2;1
14;4;1;3;6;3;2;1
52;4;1;3;2;4;5;1
50;4;2;3;2;4;7;2
29;4;2;3;4;4;7;3
18;4;1;3;5;4;4;2
32;4;1;3;2;3;7;1
36;4;1;3;5;3;5;1
37;4;1;3;6;3;2;1
25;4;1;3;6;3;5;1
35;1;1;3;5;5;5;2
30;4;2;3;6;5;5;1
32;1;1;3;6;3;4;1
29;4;2;3;6;3;5;1
57;2;1;3;5;3;1;1
60;4;1;3;2;3;2;1
35;4;1;3;6;3;7;1
16;1;1;3;5;3;2;1
46;4;1;3;5;3;1;1
43;4;2;3;4;3;2;3
49;1;1;3;5;3;2;1
63;1;1;3;6;3;1;1
26;4;1;3;6;3;2;1
42;4;2;3;2;3;5;1
49;4;1;3;5;3;1;1
21;4;1;3;5;3;4;1
19;4;1;3;5;3;4;1
33;1;1;3;5;3;2;1
22;4;1;3;5;3;2;1
42;4;1;3;5;3;2;1
19;4;1;3;2;3;5;1
17;4;1;3;3;3;3;1
58;4;1;3;5;3;2;1
24;4;1;3;6;3;5;1
56;4;2;3;5;3;2;1
24;1;1;3;5;3;5;1
48;2;1;3;3;3;1;1
27;4;1;3;6;3;5;1
35;4;2;3;6;3;5;1
38;4;1;3;5;3;1;1
61;4;2;3;6;5;2;1
50;4;1;3;6;3;2;1
37;4;1;3;5;3;2;1
16;4;1;3;6;3;2;1
32;4;1;3;6;3;1;1
25;4;1;3;6;3;2;1
21;4;1;3;6;3;2;1
31;4;2;3;6;3;5;1
30;4;1;3;2;3;5;1
73;4;1;3;2;3;2;1
63;4;1;3;5;3;1;1
45;1;2;3;5;3;1;1
41;4;1;3;5;3;2;1
28;4;2;3;6;3;1;1
44;4;1;3;3;3;2;1
35;2;2;3;2;3;5;2
33;1;1;3;2;3;3;1
46;2;1;3;2;3;7;2
24;4;1;3;2;3;3;1
22;4;1;3;2;3;4;1
50;2;1;3;6;3;2;1
25;4;2;3;2;3;5;2
28;4;1;3;6;3;2;1
40;2;1;3;5;3;1;1
29;4;2;3;6;3;5;1
45;4;2;3;6;3;3;1
74;2;2;3;6;3;2;1
22;2;2;3;2;3;5;1
15;4;1;3;6;3;3;1
27;4;1;3;5;3;2;1
31;4;1;3;5;3;5;1
21;4;2;3;2;3;7;1
63;4;1;3;5;3;3;1
33;4;1;3;3;3;3;1
31;2;1;3;3;3;4;1
63;4;2;3;5;3;5;1
62;4;1;3;5;3;2;1
52;4;1;3;6;3;1;1
30;2;2;3;6;3;2;1
41;4;1;3;5;3;2;1
34;2;1;3;3;3;2;1
58;1;1;3;3;3;2;1
48;4;2;3;6;3;5;1
50;2;1;3;6;3;1;1
14;4;1;3;6;3;2;1
26;4;1;3;6;3;3;1
60;1;1;3;5;3;2;1
49;4;2;3;2;3;2;1
28;4;2;3;6;3;2;1
29;4;2;3;6;3;4;1
62;4;2;3;6;3;4;1
20;4;2;3;6;3;4;1
25;4;2;3;6;3;5;1
22;4;1;3;6;3;2;1
